#
!	FE	FI
!!!	FE
!?	FE
interaktion	NCUSN@IS
interaktionen	NCUSN@DS
interaktionens	NCUSG@DS
interaktionistiskt	RGPS
interaktionsmönster	NCNSN@IS
interaktionsmönstren	NCNPN@DS
interaktionsorgan	NCNPN@IS	NCNSN@IS
interaktionsorganen	NCNPN@DS
interaktionsorganet	NCNSN@DS
interaktiva	AQP0PN0S
interaktivt	RGPS
interdepartemental	AQPUSNIS
interdepartementala	AQP0SNDS
interdialekt	NCUSN@IS
interferoner	NCNPN@IS
interfoliera	V@N0AS
interimsbevis	NCNSN@IS
interimsfullmäktige	NCUPN@DS
interimskommitté	NCUSN@IS
interimsprivilegier	NCNPN@IS
interior	NP00N@0S
interiör	NCUSN@IS
interiördetaljer	NCUPN@IS
interiören	NCUSN@DS
interiörer	NCUPN@IS
interiörerna	NCUPN@DS
interjektion	NCUSN@IS
interlace	XF
interlaced	XF
intermediära	AQP0PN0S
intern	AQPUSNIS	NCUSN@IS
interna	AQP0PN0S	AQP0SNDS	XF
internadministrationen	NCUSN@DS
internatbidrag	NCNPN@IS
international	NCUSN@IS	XF
internationalen	NCUSN@DS	NP00N@0S
internationalisering	NCUSN@IS
internationaliseringen	NCUSN@DS
internationaliseringsprogram	NCNSN@IS
internationalism	NCUSN@IS
internationalistiska	AQP0SNDS
internationell	AQPUSNIS
internationella	AQP0PN0S	AQP0SNDS
internationellt	AQPNSNIS	RGPS
internatskoleutredningen	NCUSN@DS
internbank	NCUSN@IS
interndebitering	NCUSN@IS
interndebiteringssystem	NCNSN@IS
interner	NCUPN@IS
internerna	NCUPN@DS
interninformationen	NCUSN@DS
internkontroll	NCUSN@IS
internmedicin	NCUSN@IS
internminnet	NCNSN@DS
internpost	NCUSN@IS
internposten	NCUSN@DS
internprisernas	NCNPG@DS
internreglering	NCUSN@IS
internrekrytera	V@N0AS
internrekrytering	NCUSN@IS
internrepresentation	NCUSN@IS
internt	AQPNSNIS	RGPS
internutbildade	AF00PN0S
internutbildning	NCUSN@IS
internutskottet	NCNSN@DS
interorganisatorisk	AQPUSNIS
interorganisatoriska	AQP0PN0S	AQP0SNDS
interorganisatoriskt	AQPNSNIS
interpellation	NCUSN@IS
interpellationen	NCUSN@DS
interpellationsdebatten	NCUSN@DS
interpretationsverksamhet	NCUSN@IS
interpretatör	NCUSN@IS
interpreted	XF
interpreter	NCUPN@IS
interregional	AQPUSNIS
interrupt	XF
intertextuella	AQP0SNDS
intertextuelle	AQPMSNDS
intervall	NCNPN@IS	NCNSN@IS
intervallen	NCNPN@DS
intervaller	NCNPN@IS	NCUPN@IS
intervallet	NCNSN@DS
intervallsmärtor	NCUPN@IS
intervenerade	V@IIAS
intervention	NCUSN@IS
interventionen	NCUSN@DS
interventionism	NCUSN@IS
interventionismen	NCUSN@DS
interventionistisk	AQPUSNIS
intervju	NCUSN@IS
intervju-	NCU00@0C
intervjua	V@N0AS
intervjuad	AF0USNIS
intervjuade	AF00PN0S	AF00SNDS	V@IIAS
intervjuades	AF00PG0S	AF00SGDS	V@IISS
intervjuandet	NCNSN@DS
intervjuar	V@IPAS
intervjuare	NCUPN@IS	NCUSN@IS
intervjuaren	NCUSN@DS
intervjuarens	NCUSG@DS
intervjuares	NCUSG@IS
intervjuarna	NCUPN@DS
intervjuas	V@IPSS	V@N0SS
intervjuat	V@IUAS
intervjuats	V@IUSS
intervjuer	NCUPN@IS
intervjuerna	NCUPN@DS
intervjuers	NCUPG@IS
intervjuformen	NCUSN@DS
intervjufrågor	NCUPN@IS
intervjugenomförandet	NCNSN@DS
intervjumaterial	NCNSN@IS
intervjumaterialet	NCNSN@DS
intervjun	NCUSN@DS
intervjuns	NCUSG@DS
intervjuobjekt	NCNPN@IS	NCNSN@IS
intervjuobjektet	NCNSN@DS
intervjuoffer	NCNPN@IS
intervjupersonen	NCUSN@DS
intervjupersonens	NCUSG@DS
intervjupersoner	NCUPN@IS
intervjupersonerna	NCUPN@DS
intervjupersonernas	NCUPG@DS
intervjuschema	NCNSN@IS
intervjusituationen	NCUSN@DS
intervjustrategin	NCUSN@DS
intervjustudier	NCUPN@IS
intervjusvaren	NCNPN@DS
intervjuteknik	NCUSN@IS
intervjutiden	NCUSN@DS
intervjutillfället	NCNSN@DS
intervjuundersökningar	NCUPN@IS
intervjuutsagorna	NCUPN@DS
interzon	NP00N@0S
intet	DI@NS@S	PI@NS0@S
intetsägande	AP000N0S	AQP00N0S
intifada	NCUSN@IS
intifadan	NCUSN@DS
intill	QS	RG0S	SPS
intilliggande	AP000N0S	AQP00N0S
intim	AQPUSNIS
intima	AQP0PN0S	AQP0SNDS	XF
intima-mediakomplex	NCNPN@IS
intima-mediatjockleken	NCUSN@DS
intiman	NP00N@0S
intime	AQPMSNDS
intimitet	NCUSN@IS
intimt	AQPNSNIS	RGPS
intjänad	AF0USNIS
intog	V@IIAS
intolerans	NCUSN@IS
intolerant	AQPNSNIS
intoleranta	AQP0SNDS
intonation	NCUSN@IS
intoneras	V@IPSS
intorkade	AF00PN0S
intra-	RG0C
intraanal	AQPUSNIS
intraindividuella	AQP0PN0S
intrakraniella	AQP0PN0S
intrakraniellt	RGPS
intramurala	AQP0PN0S	AQP0SNDS
intraorganisatoriska	AQP0PN0S
intraorganisatoriskt	AQPNSNIS
intravaskulär	AQPUSNIS
intravenös	AQPUSNIS
intravenöst	AQPNSNIS
intrepid	NP00N@0S
intressant	AQPNSNIS	AQPUSNIS	RGPS
intressanta	AQP0PN0S	AQP0SNDS
intressantare	AQC00N0S
intressantast	AQS00NIS
intressantaste	AQS00NDS
intresse	NCNSN@IS
intresse-	NCN00@0C
intressefria	AQP0SNDS
intressefält	NCNSN@IS
intresseförening	NCUSN@IS
intressegemenskaper	NCUPN@IS
intressegrupper	NCUPN@IS
intressekonflikt	NCUSN@IS
intressekonflikter	NCUPN@IS
intressemotsättningar	NCUPN@IS
intressen	NCNPN@IS
intressena	NCNPN@DS
intressenter	NCUPN@IS
intressenterna	NCUPN@DS
intressentinflytande	NCNSN@IS
intresseområden	NCNPN@IS
intresseorganisation	NCUSN@IS
intresseorganisationer	NCUPN@IS
intresseorganisationerna	NCUPN@DS
intressepolitiken	NCUSN@DS
intressepolitisk	AQPUSNIS
intressepolitiska	AQP0PN0S	AQP0SNDS
intressera	V@N0AS
intresserad	AF0USNIS
intresserade	AF00PN0S	AF00SNDS	V@IIAS
intresserar	V@IPAS
intresserat	AF0NSNIS	RG0S	V@IUAS
intresset	NCNSN@DS
intressets	NCNSG@DS
intresseväckande	AQP00N0S
intrig	NCUSN@IS
intriganta	AQP0SNDS
intrigen	NCUSN@DS
intriger	NCUPN@IS
intrigerande	NCNSN@IS
intrigslingrande	AP000N0S
intrigspel	NCNSN@IS
intrikat	AQPNSNIS	AQPUSNIS
intrikata	AQP0PN0S	AQP0SNDS
intrippande	AP000N0S
introducera	V@N0AS
introducerad	AF0USNIS
introducerade	V@IIAS
introducerades	V@IISS
introducerandet	NCNSN@DS
introducerar	V@IPAS
introduceras	V@IPSS	V@N0SS
introducerat	V@IUAS
introducerats	V@IUSS
introductio	NP00N@0S
introduktion	NCUSN@IS
introduktionen	NCUSN@DS
introduktionsplan	NCUSN@IS
introduktionsplanen	NCUSN@DS
introduktionsträffen	NCUSN@DS
introduktörer	NCUPN@IS
intronisation	NCUSN@IS
introspekteras	V@N0SS
introverta	AQP0PN0S
intryck	NCNPN@IS	NCNSN@IS
intrycken	NCNPN@DS
intrycket	NCNSN@DS
intryckt	AF0USNIS
inträda	V@N0AS
inträdde	V@IIAS
inträde	NCNSN@IS
inträder	V@IPAS
inträdesavgift	NCUSN@IS
inträdesavgiften	NCUSN@DS
inträdesbiljett	NCUSN@IS
inträdet	NCNSN@DS
inträffa	V@N0AS
inträffad	AF0USNIS
inträffade	AF00SNDS	V@IIAS
inträffar	V@IPAS
inträffat	V@IUAS
inträngande	AP000N0S	AQP00N0S
inträngandet	NCNSN@DS
inträtt	V@IUAS
intrång	NCNSN@IS
intrånget	NCNSN@DS
intuition	NCUSN@IS
intuitioner	NCUPN@IS
intuitiv	AQPUSNIS
intuitiva	AQP0SNDS
intuitivt	RGPS
intyg	NCNSN@IS
intyga	V@N0AS
intyget	NCNSN@DS
intäkt	NCUSN@IS
intäkter	NCUPN@IS
intäkterna	NCUPN@DS
intäkts-	NCU00@0C
intäktsminskning	NCUSN@IS
intäktssidan	NCUSN@DS
intäktsvolymen	NCUSN@DS
intäktsökning	NCUSN@IS
intåg	NCNSN@IS
inuiter	NCUPN@IS
inunder	RG0S	SPS
inuti	RG0S	SPS
invadera	V@N0AS
invaderade	V@IIAS
invaderades	V@IISS
invaderat	V@IUAS
invaderats	V@IUSS
invagga	V@N0AS
invaggad	AF0USNIS
invaggar	V@IPAS
invagination	NCUSN@IS
invald	AF0USNIS
invaldes	V@IISS
invalidiserad	AF0USNIS
invalidiserade	AF00PN0S
invalidiserande	AP000N0S
invalsarbete	NCNSN@IS
invand	AQPUSNIS
invanda	AF00PN0S	AF00SNDS
invandrade	AF00PN0S	V@IIAS
invandrar-	NCU00@0C
invandrarakademiker	NCUPN@IS
invandrarakademikerna	NCUPN@DS
invandrarbarn	NCNPN@IS
invandrare	NCUPN@IS	NCUSN@IS
invandrarens	NCUSG@DS
invandrarfientliga	AQP0PN0S
invandrarfientlighet	NCUSN@IS
invandrarfrågor	NCUPN@IS
invandrargruppen	NCUSN@DS
invandrargrupper	NCUPN@IS
invandrarhushållen	NCNPN@DS
invandrarjobben	NCNPN@DS
invandrarjävel	NCUSN@IS
invandrarkvinnornas	NCUPG@DS
invandrarminister	NCUSN@IS
invandrarministern	NCUSN@DS
invandrarministerns	NCUSG@DS
invandrarna	NCUPN@DS
invandrarnas	NCUPG@DS
invandrarpolitiken	NCUSN@DS
invandrarpolitiska	AQP0PN0S
invandrarservice	NCUSN@IS
invandrarstatistik	NCUSN@IS
invandrarverk	NCNSN@IS
invandrarverket	NCNSN@DS
invandrat	V@IUAS
invandring	NCUSN@IS
invandringen	NCUSN@DS
invasion	NCUSN@IS
invasionsdjup	NCNSN@IS
invasionsvågor	NCUPN@IS
invasiv	AQPUSNIS
invecklad	AF0USNIS
invecklade	AF00PN0S	AF00SNDS
invektiv	NCNPN@IS
inventarierna	NCNPN@DS
inventarium	NCNSN@IS
inventera	V@N0AS
inventerades	V@IISS
inventering	NCUSN@IS
inventeringar	NCUPN@IS
inverka	V@N0AS
inverkan	NCUSN@DS	NCUSN@IS
inverkar	V@IPAS
inverkat	V@IUAS
invertsocker	NCNSN@IS
investera	V@N0AS
investerar	V@IPAS
investerare	NCUPN@IS
investerares	NCUSG@IS
investeras	V@IPSS	V@N0SS
investerat	AF0NSNIS	V@IUAS
investerats	V@IUSS
investering	NCUSN@IS
investeringar	NCUPN@IS
investeringarna	NCUPN@DS
investeringarnas	NCUPG@DS
investeringen	NCUSN@DS
investeringsalternativ	NCNSN@IS
investeringsbanken	NP00N@0S
investeringsbudget	NCUSN@IS
investeringsintensiva	AQP0PN0S
investeringskostnad	NCUSN@IS
investeringskostnader	NCUPN@IS
investeringsprojekt	NCNPN@IS
investeringsstöd	NCNSN@IS
investeringstakten	NCUSN@DS
investeringsvaror	NCUPN@IS
investeringsviljan	NCUSN@DS
investeringsvilliga	AQP0PN0S
investeringsvåg	NCUSN@IS
investesteringsavgifter	NCUPN@IS
investment	NP00N@0S
investment-	XF
invid	SPS
inviga	V@N0AS
invigda	AF00PN0S
invigde	V@IIAS
invigdes	V@IISS
inviger	V@IPAS
invigning	NCUSN@IS
invigningen	NCUSN@DS
invigningsdagen	NCUSN@DS
invigningsshow	NCUSN@IS
invigt	AF0NSNIS
invirad	AF0USNIS
invit	NCUSN@IS
inviterade	AF00PN0S
involve	XF
involverad	AF0USNIS
involverade	AF00PN0S
involverar	V@IPAS
invända	V@N0AS
invändas	V@N0SS
invände	V@IIAS
invänder	V@IPAS
invändigt	RGPS
invändning	NCUSN@IS
invändningar	NCUPN@IS
invändningarna	NCUPN@DS
invändningen	NCUSN@DS
invändningsfri	AQPUSNIS
invänt	V@IUAS
invänta	V@N0AS
inväntande	AP000N0S
inväntar	V@IPAS
invärtes	RG0S
invävda	AF00PN0S
invävt	AF0NSNIS
invånarantal	NCNSN@IS
invånare	NCUPN@IS	NCUSN@IS
invånarna	NCUPN@DS
invånarnas	NCUPG@DS
inxs	NP00N@0S
inympningen	NCUSN@DS
inäga	NCUSN@IS
inägorna	NCUPN@DS
inälvor	NCUPN@IS
inälvskurvorna	NCUPN@DS
inåt	RG0S	SPS
inåtvänd	AQPUSNIS
inåtvända	AQP0PN0S
inåtvändhet	NCUSN@IS
inåtvänt	RGPS
inégalité	NP00N@0S
inés	NP00N@0S
iogt	NP00N@0S
iogt-kören	NCUSN@DS
iogt-logen	NCUSN@DS
iogt-logens	NCUSG@DS
iogt-logernas	NCUPG@DS
iogt-utbrytningen	NCUSN@DS
iogt:s	NP00G@0S
ion	NP00N@0S
ionescos	NP00G@0S
ior	NP00N@0S
iordningställa	V@N0AS
iordningställande	NCNSN@IS
iordningställdes	V@IISS
iordningställts	V@IUSS
ip	NC000@0A
ip-registrens	NCNPG@DS
ipcc	NP00N@0S
ipm	NP00N@0S
ippon	XF
ips	XF
ir-analysen	NCUSN@DS
ir-differens	NCUSN@IS
ir-index	NCNPN@IS
ira	NP00N@0S
irak	NP00N@0S
irak-diktatorns	NCUSG@DS
irak-krisen	NCUSN@DS
irakier	NCUPN@IS
irakierna	NCUPN@DS
irakiernas	NCUPG@DS
irakiska	AQP0PN0S
irakiske	AQPMSNDS
irakkriget	NCNSN@DS
irakli	NP00N@0S
iraklion	NP00N@0S
iraks	NP00G@0S	NP00N@0S
iran	NP00N@0S
iran-contrasskandalen	NCUSN@DS
iranierna	NCUPN@DS
irans	NP00G@0S
iranska	AQP0SNDS
ireland	NP00N@0S
iremda	NP00N@0S
irena	NP00N@0S
irenas	NP00G@0S
irene	NP00N@0S
iret	NC000@0A
iridology	NP00N@0S
irina	NP00N@0S
iris	NP00N@0S
irisen	NCUSN@DS
irisodling	NCUSN@IS
irland	NP00N@0S
irländaren	NCUSN@DS
irländsk	AQPUSNIS
irländske	AQPMSNDS
irländskt	AQPNSNIS
ironi	NCUSN@IS
ironické	XF
ironin	NCUSN@DS
ironins	NCUSG@DS
ironiserat	V@IUAS
ironisk	AQPUSNIS
ironiska	AQP0PN0S	AQP0SNDS
ironiskt	AQPNSNIS	RGPS
irrade	V@IIAS
irrande	AP000N0S	NCNSN@IS
irrationalism	NCUSN@IS
irrationella	AQP0SNDS
irrationellt	AQPNSNIS	RGPS
irrbloss	NCNPN@IS
irrelevant	AQPUSNIS
irrelevanta	AQP0PN0S
irreparabel	AQPUSNIS
irreversibel	AQPUSNIS
irreversibla	AQP0PN0S
irritabile	XF
irritation	NCUSN@IS
irritationen	NCUSN@DS
irritationsmoment	NCNSN@IS
irritera	V@N0AS
irriterad	AF0USNIS
irriterade	AF00PN0S	AF00SNDS	V@IIAS
irriterande	AP000N0S
irriterar	V@IPAS
irriteras	V@IPSS
irriterat	AF0NSNIS	RG0S
irrläror	NCUPN@IS
irrväg	NCUSN@IS
irrvägar	NCUPN@IS
irta	NP00N@0S
irvine	NP00N@0S
irvines	NP00G@0S
irène	NP00N@0S
is	NCUSN@IS	NP00N@0S	XF
isaac	NP00N@0S
isabella	NP00N@0S
isabelle	NP00N@0S
isaberg	NP00N@0S
isac	NP00N@0S
isadora	NP00N@0S
isagoge	NP00N@0S
isak	NP00N@0S
isaksen	NP00N@0S
isaksens	NP00G@0S
isaksson	NP00N@0S
isande	AP000N0S	AQP00N0S	RG0S
isar	NCUPN@IS
isarna	NCUPN@DS
isballerinor	NCUPN@IS
isbane-SM	NCNSN@IS
isbane-sm	NCNSN@IS
isbanefrågor	NCUPN@IS
isbeläggning	NCUSN@IS
isberg	NCNPN@IS	NCNSN@IS
isbit	NCUSN@IS
isbitar	NCUPN@IS
isbjörnar	NCUPN@IS
isblock	NCNSN@IS
isblocket	NCNSN@DS
isbrytaren	NCUSN@DS
isbrytning	NCUSN@IS
iscensatt	AF0USNIS
iscensatts	V@IUSS
iscensätta	V@N0AS
iscensätter	V@IPAS
iscensättning	NCUSN@IS
iscensättningar	NCUPN@IS
iscensättningen	NCUSN@DS
ischemi	NCUSN@IS
ischemiska	AQP0SNDS
ischemiskt	AQPNSNIS
isdansare	NCUPN@IS
isen	NCUSN@DS
isens	NCUSG@DS
isfall	NCNPN@IS
isfattiga	AQP0PN0S
isfria	AQP0PN0S
ishall	NCUSN@IS
ishallen	NCUSN@DS
ishallsbygge	NCNSN@IS
isham	NP00N@0S
ishanden	NCUSN@DS
ishavet	NCNSN@DS
ishavsexotism	NCUSN@IS
ishavskust	NCUSN@IS
ishockey	NCUSN@IS
ishockey-Sveriges	NCNSG@IS
ishockey-VM:s	NCNSG@IS
ishockey-sveriges	NCNSG@IS
ishockey-vm:s	NCNSG@IS
ishockeyförbund	NCNSN@IS
ishockeyförbundet	NP00N@0S
ishockeylag	NCNSN@IS
ishockeyn	NCUSN@DS
ishockeyns	NCUSG@DS
ishockeysegern	NCUSN@DS
ishockeyskola	NCUSN@IS
ishockeyspelare	NCUSN@IS
ishockeystjärna	NCUSN@IS
ishockeysäsongen	NCUSN@DS
ishockeytackling	NCUSN@IS
isidor	NP00N@0S
iskall	AQPUSNIS
iskalla	AQP0PN0S	AQP0SNDS
iskallt	AQPNSNIS
iski	XF
iskristallerna	NCUPN@DS
iskuber	NCUPN@IS
iskung	NCUSN@IS
iskylda	AF00PN0S
isl.	AQ00000A
islam	NCUSN@IS
islamisk	AQPUSNIS
islamiska	AQP0PN0S	AQP0SNDS
islamiskt	AQPNSNIS
islamitiska	AQP0SNDS
islams	NCUSG@DS
islamska	AQP0SNDS
island	NP00N@0S
islandica	XF
islands	NP00G@0S
islandshäst-klubben	NCUSN@DS
islandshästar	NCUPN@IS
islandshästarna	NCUPN@DS
islandshästklubben	NCUSN@DS
islandshästtur	NCUSN@IS
islandsmussla	NCUSN@IS
islandsmusslan	NCUSN@DS
islandsresan	NCUSN@DS
islandströja	NCUSN@IS
islossningen	NCUSN@DS
isländska	AQP0PN0S	AQP0SNDS
islänning	NCUSN@IS
islänningarna	NCUPN@DS
islänningen	NCUSN@DS
ismael	NP00N@0S
ismassan	NCUSN@DS
ismen	NCUSN@DS
ismer	NCUPN@IS
ismet	NP00N@0S
iso	NP00N@0S
iso-certifiering	NCUSN@IS
iso-certifieringen	NCUSN@DS
iso-revisor	NCUSN@IS
isolationism	NCUSN@IS
isolationistiska	AQP0SNDS
isolde	NP00N@0S
isolera	V@N0AS
isolerad	AF0USNIS
isolerade	AF00PN0S	V@IIAS
isolerat	AF0NSNIS
isolerats	V@IUSS
isolering	NCUSN@IS
isoleringen	NCUSN@DS
isoprenoider	NCUPN@IS
isossa	XF
isotoper	NCUPN@IS
isotopmetoder	NCUPN@IS
isotopundersökning	NCUSN@IS
ispahan	NP00N@0S
israel	NCUSN@IS
israelen	NCUSN@DS
israeler	NCUPN@IS
israelerna	NCUPN@DS
israelisk	AQPUSNIS
israeliska	AQP0SNDS
israeliskt	AQPNSNIS
israelit	NCUSN@IS
israelitisk	AQPUSNIS
israelitisk-judiska	AQP0PN0S
israelitiskt	AQPNSNIS
israels	NP00G@0S
isranden	NCUSN@DS
isryckning	NCUSN@IS
isryckningen	NCUSN@DS
iss	NP00N@0S
iss:s	NCUSG@IS
issande	NCNSN@IS
isshow	NCUSN@IS
ist	XF
istadigt	RGPS
istapp	NCUSN@IS
istappar	NCUPN@IS
istappen	NCUSN@DS
ister	NCNSN@IS
isterbuk	NCUSN@IS
isterbukar	NCUPN@IS
isterolja	NCUSN@IS
istid	NCUSN@IS
istiden	NCUSN@DS
istryckning	NCUSN@IS
istvan	NP00N@0S
istäcket	NCNSN@DS
istäckta	AF00SNDS
istället	RG0S
istävling	NCUSN@IS
iståndsatta	AF00PN0S
isyxa	NCUSN@IS
isä	XF
isär	QS	RG0S
isärhållandet	NCNSN@DS
isåfall	RG0S
isåkandet	NCNSN@DS
it	NP00N@0S	XF
ital.	AQ00000A
italia	NP00N@0S
italien	NP00N@0S
italien-inspirerad	AF0USNIS
italienare	NCUPN@IS	NCUSN@IS
italienaren	NCUSN@DS
italienarna	NCUPN@DS
italiens	NP00G@0S
italiensk	AQPUSNIS
italiensk-fransk	AQPUSNIS
italienska	AQP0PN0S	AQP0SNDS	NCUSN@IS
italienskan	NCUSN@DS
italienske	AQPMSNDS
italienskklingande	AP000N0S
itamar	NP00N@0S
itinerär	NCUSN@IS
itinerären	NCUSN@DS
itinerärens	NCUSG@DS
itinerärer	NCUPN@IS
itp-systemet	NCNSN@DS
its	XF
itu	QS	RG0S
itusågad	AF0USNIS
itusågade	AF00SNDS
ity	RG0S
itzhak	NP00N@0S
iui	NP00N@0S
iui:s	NP00G@0S
iv	MC00N0S	MO00N0S
iv-laget	NCNSN@DS
iv.	MC00N0S
iv:s	MO00G0S
iva	NP00N@0S
ivan	NP00N@0S
ivanisevic	NP00N@0S
ivar	NP00N@0S
ivarsson	NP00N@0S
ivas	NP00G@0S
iver	NCUSN@IS
ivern	NCUSN@DS
ivf	NP00N@0S
ivl	NP00N@0S
ivo	NP00N@0S
ivory	NP00N@0S
ivrade	V@IIAS
ivre	NP00N@0S
ivrig	AQPUSNIS
ivriga	AQP0PN0S
ivrigare	AQC00N0S
ivrigaste	AQS00NDS
ivrigt	RGPS
ivx	NP00N@0S
iväg	QS	RG0S
iwa	NP00N@0S
iwarsson	NP00N@0S
ix	MC00N0S
ix.20	MC00N0S
izvestija	NP00N@0S
iögonenfallande	AP000N0S	AQP00N0S
iögonfallande	AQP00N0S
j	NP00N@0S
j-a	AQP0SNDS
j-ja	I
j-landslaget	NCNSN@DS
j.	NP00N@0S
j.a	NP00N@0S
j.a.	NP00N@0S
j/&psgr;	NP00N@0S
j/&psgr;-partikeln	NCUSN@DS
j1/AT	NC000@0A
j1/AT:s	NC000@0A
j1/at	NC000@0A
j1/at:s	NC000@0A
j1:12	NP00N@0S
j1:13	NP00N@0S
j1:16	NP00N@0S
j1:16-17	NP00N@0S
j1:5	NP00N@0S
j1:7	NP00N@0S
j1a:19	NP00N@0S
j1a:20	NP00N@0S
j2:10	NP00N@0S
j2:11	NP00N@0S
j2:5	NP00N@0S
j3:2	NP00N@0S
ja	I	NCNSN@IS	PF@USS@S
ja&apos;	PF@USS@S
jaa	I
jaadu	I
jaam	NP00N@0S
jaan	NP00N@0S
jabal	NP00N@0S
jabrin	NP00N@0S
jack	NCNSN@IS
jacka	NCUSN@IS
jackan	NCUSN@DS
jacketkronor	NCUPN@IS
jackfickan	NCUSN@DS
jackor	NCUPN@IS
jackärmen	NCUSN@DS
jacob	NP00N@0S
jacobins	NP00N@0S
jacobson	NP00N@0S
jacobsson	NP00N@0S
jacques	NP00N@0S
jacuzzi	NCUSN@IS
jadwiga	NP00N@0S
jadå	I
jaensson	NP00N@0S
jaffna	NP00N@0S
jag	NCNSN@IS	PF@USS@S
jaga	V@N0AS
jagad	AF0USNIS
jagade	AF00PN0S	AF00SNDS	V@IIAS
jagades	V@IISS
jagande	NCNSN@IS
jagar	V@IPAS
jagas	V@N0SS
jagat	V@IUAS
jagats	V@IUSS
jagbild	NCUSN@IS
jaget	NCNSN@DS
jagets	NCNSG@DS
jaguar	NP00N@0S
jaha	I
jahaja	I
jaite	NP00N@0S
jaja	I
jajamen	I
jajamensan	I
jajamän	I
jak	PF@USS@S
jakob	NP00N@0S
jakobinska	AQP0PN0S
jakobsberg	NP00N@0S
jakobsbergspolisen	NCUSN@DS
jakobsbrevet	NP00N@0S
jakobsbrevets	NP00G@0S
jakobson	NP00N@0S
jakobsonska	AQP0PN0S
jakobsson	NP00N@0S
jakov	NP00N@0S
jakovs	NP00G@0S
jakt	NCUSN@IS
jaktberättelser	NCUPN@IS
jaktbestämmelser	NCUPN@IS
jaktbilderna	NCUPN@DS
jaktbyte	NCNSN@IS
jaktbytena	NCNPN@DS
jakten	NCUSN@DS
jakter	NCUPN@IS
jaktfalk	NCUSN@IS
jaktfilosofi	NCUSN@IS
jaktflyg	NCNSN@IS
jaktform	NCUSN@IS
jaktförsvaret	NCNSN@DS
jaktförsök	NCNPN@IS
jakthund	NCUSN@IS
jaktintresse	NCNSN@IS
jaktkamrater	NCUPN@IS
jaktkonsulent	NCUSN@IS
jaktlag	NCNPN@IS
jaktlig	AQPUSNIS
jaktliga	AQP0PN0S
jaktliv	NCNSN@IS
jaktluftgeväret	NCNSN@DS
jaktlystne	AQPMSNDS
jaktmagi	NCUSN@IS
jaktmarkerna	NCUPN@DS
jaktmattan	NCUSN@DS
jaktplanet	NCNSN@DS
jaktslottet	NCNSN@DS
jaktstigarna	NCUPN@DS
jakttid	NCUSN@IS
jakttryck	NCNSN@IS
jaktviggarna	NP00N@0S
jaktviggen	NP00N@0S
jaktäventyr	NCNPN@IS
jakutier	NCUPN@IS
jakutiernas	NCUPG@DS
jakutiska	AQP0SNDS
jakutiskt	AQPNSNIS
jalali	NP00N@0S
jalkanen	NP00N@0S
jalles	NP00G@0S
jam	NP00N@0S
jama	V@N0AS
jamade	V@IIAS
jamais	NP00N@0S
jamande	NCNSN@IS
jamb	NCUSN@IS
jambdiktare	NCUSN@IS
jamboreen	NCUSN@DS
jamen	I
jamenvisst	I
james	NP00N@0S
jamsa	V@N0AS
jan	NC000@0A
jan-carola	NP00N@0S
jan-erik	NP00N@0S
jan-olof	NP00N@0S
jan-olov	NP00N@0S
jane	NP00N@0S
jane&apos;s	NP00G@0S
janek	NP00N@0S
janerik	NP00N@0S
janes	NP00G@0S
janne	NP00N@0S
jannes	NP00G@0S
jans	NP00G@0S
janson	NP00N@0S
jansson	NP00N@0S
janssons	NP00G@0S
januari	NCUSN@IS
januari-februari	NCUSN@IS
januarisammanträde	NCNSN@IS
januaristorm	NCUSN@IS
japan	NCUSN@IS
japanen	NCUSN@DS
japaner	NCUPN@IS
japanerna	NCUPN@DS
japanisera	V@N0AS
japanlåten	NCUSN@DS
japans	NP00G@0S
japansingeln	NCUSN@DS
japansk	AQPUSNIS
japanska	AQP0PN0S	AQP0SNDS	NCUSN@IS
japanskan	NCUSN@DS
japanskt	AQPNSNIS
jarl	NP00N@0S
jarlbo	NP00N@0S
jarlsgatan	NP00N@0S
jarmusch	NP00N@0S
jarnedal	NP00N@0S
jarolim	NP00N@0S
jarva	NP00N@0S
jas	NP00N@0S
jas-krasch	NCUSN@IS
jas-planet	NCNSN@DS
jas-projektet	NCNSN@DS
jasidan	NCUSN@DS
jasmodellen	NCUSN@DS
jasså	I
jaså	I
jau	I
javanesiska	AQP0SNDS
javisst	I
jazyk	NP00N@0S	XF
jazyka	NP00N@0S
jazz	NCUSN@IS
jazz-	NCU00@0C
jazzeliten	NCUSN@DS
jazzen	NCUSN@DS
jazzfestivalen	NCUSN@DS
jazzguru	NCUSN@IS
jazzig	AQPUSNIS
jazzinspirerad	AF0USNIS
jazzklubben	NCUSN@DS
jazzlivet	NCNSN@DS
jazzlåtarna	NCUPN@DS
jazzmusiken	NCUSN@DS
jazzmusikerna	NCUPN@DS
jazzoratorium	NCNSN@IS
jazzorkester	NCUSN@IS
jazzorkestern	NCUSN@DS
jazzpianist	NCUSN@IS
jazzregistret	NCNSN@DS
jazzsaxofonisten	NCUSN@DS
jazzserien	NCUSN@DS
jazzskivor	NCUPN@IS
jazztexterna	NCUPN@DS
jazzuttrycket	NCNSN@DS
jb	NP00N@0S
je&apos;n	XF
jean	NP00N@0S
jean-claude	NP00N@0S
jean-louis	NP00N@0S
jean-luc	NP00N@0S
jean-marie	NP00N@0S
jean-paul	NP00N@0S
jean-pierre	NP00N@0S
